feature,importance
num__PREV_INST_DAYS_ENTRY_PAYMENT_MAX_MAX,0.00014724823
num__PREV_AMT_GOODS_PRICE_MIN,0.00014665413
num__COMMONAREA_MEDI,0.00014660181
cat__ORGANIZATION_TYPE_Telecom,0.00014541065
num__BUREAU_AMT_ANNUITY_SUM,0.00014532651
num__PREV_CC_AMT_DRAWINGS_POS_CURRENT_SUM_MEAN,0.0001444418
num__PREV_AMT_APPLICATION_STD,0.00014292206
num__PREV_INST_DAYS_ENTRY_PAYMENT_MIN_MEAN,0.00014032527
num__PREV_CNT_PAYMENT_MIN,0.00014002487
num__PREV_AMT_ANNUITY_STD,0.00013964837
num__BUREAU_DAYS_CREDIT_UPDATE_MEAN,0.0001380736
num__PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,0.00013788395
num__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,0.00013443021
num__BUREAU_BB_MONTHS_BALANCE_STD_MEAN,0.00013303815
num__PREV_INST_DAYS_INSTALMENT_MAX_MEAN,0.00013231338
num__PREV_CC_AMT_DRAWINGS_POS_CURRENT_MEAN_MAX,0.00013210032
num__PREV_DAYS_FIRST_DUE_SUM,0.00013109096
num__PREV_NFLAG_INSURED_ON_APPROVAL_MIN,0.0001290288
num__PREV_SELLERPLACE_AREA_MEAN,0.00012878393
num__PREV_CC_AMT_DRAWINGS_CURRENT_STD_MAX,0.00012871547
num__LIVINGAPARTMENTS_AVG,0.00012867921
num__PREV_POS_MONTHS_BALANCE_MEAN_MAX,0.0001277385
num__PREV_POS_CNT_INSTALMENT_FUTURE_STD_MEAN,0.00012726954
num__PREV_NAME_CONTRACT_STATUS_NUNIQUE,0.00012684042
num__BUREAU_DAYS_ENDDATE_FACT_SUM,0.00012678938
cat__ORGANIZATION_TYPE_Realtor,0.00012615106
num__PREV_INST_DAYS_ENTRY_PAYMENT_MIN_MAX,0.00012518061
num__PREV_DAYS_DECISION_MAX,0.0001248682
num__BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,0.00012452516
num__PREV_CC_AMT_RECEIVABLE_PRINCIPAL_MAX_MEAN,0.00012414723
num__PREV_HOUR_APPR_PROCESS_START_SUM,0.00012411045
num__PREV_INST_DAYS_INSTALMENT_SUM_MAX,0.00012303318
num__PREV_AMT_CREDIT_MEAN,0.000122012985
num__PREV_INST_DAYS_INSTALMENT_MIN_MEAN,0.00012191407
num__BUREAU_BB_COUNT_MEAN,0.000121005694
num__PREV_SELLERPLACE_AREA_SUM,0.000120727585
cat__ORGANIZATION_TYPE_Business Entity Type 1,0.0001206322
num__PREV_CC_AMT_PAYMENT_TOTAL_CURRENT_SUM_MEAN,0.00012062389
cat__NAME_FAMILY_STATUS_Widow,0.00012044116
num__PREV_POS_CNT_INSTALMENT_SUM_MEAN,0.0001202069
num__PREV_CC_AMT_INST_MIN_REGULARITY_STD_MEAN,0.00011956067
num__PREV_DAYS_TERMINATION_SUM,0.00011850387
num__NONLIVINGAPARTMENTS_MODE,0.000116502975
num__PREV_DAYS_TERMINATION_MEAN,0.0001154618
num__BUREAU_DAYS_ENDDATE_FACT_STD,0.000113814844
num__PREV_POS_MONTHS_BALANCE_MIN_MAX,0.00011293425
num__PREV_CC_AMT_PAYMENT_CURRENT_SUM_MAX,0.00011158442
num__PREV_CC_AMT_DRAWINGS_POS_CURRENT_STD_MAX,0.00011151334
num__YEARS_BUILD_MEDI,0.00011043147
num__PREV_POS_CNT_INSTALMENT_SUM_MAX,0.00011020355
num__PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_SUM_MAX,0.00011015668
num__PREV_DAYS_LAST_DUE_1ST_VERSION_MIN,0.00011008123
num__PREV_DAYS_TERMINATION_MIN,0.00010938693
num__PREV_CC_CNT_DRAWINGS_CURRENT_SUM_MEAN,0.000109319866
num__PREV_CC_AMT_DRAWINGS_CURRENT_SUM_MAX,0.00010873379
num__PREV_AMT_CREDIT_SUM,0.00010798405
num__PREV_HOUR_APPR_PROCESS_START_MEAN,0.00010740519
num__PREV_CC_CNT_DRAWINGS_POS_CURRENT_STD_MAX,0.000107078406
num__PREV_INST_AMT_PAYMENT_MAX_MEAN,0.000106708154
num__BUREAU_AMT_ANNUITY_MAX,0.00010621167
num__PREV_POS_CNT_INSTALMENT_FUTURE_SUM_MEAN,0.00010606956
num__PREV_DAYS_LAST_DUE_1ST_VERSION_STD,0.000105663305
num__PREV_INST_AMT_INSTALMENT_STD_MEAN,0.00010515377
num__ELEVATORS_AVG,0.00010372423
num__PREV_POS_MONTHS_BALANCE_SUM_MAX,0.0001035268
num__PREV_INST_DAYS_ENTRY_PAYMENT_MEAN_MAX,0.00010282173
num__PREV_INST_AMT_INSTALMENT_MAX_MEAN,0.00010266143
num__PREV_DAYS_DECISION_SUM,0.00010257747
num__PREV_AMT_DOWN_PAYMENT_STD,0.00010243692
cat__HOUSETYPE_MODE_terraced house,0.00010222651
num__PREV_RATE_DOWN_PAYMENT_STD,9.935631e-05
num__BUREAU_DAYS_ENDDATE_FACT_MEAN,9.93148e-05
num__PREV_CC_AMT_DRAWINGS_CURRENT_MAX_MAX,9.88381e-05
num__BUREAU_DAYS_CREDIT_UPDATE_SUM,9.880118e-05
num__PREV_AMT_CREDIT_MAX,9.8657765e-05
num__PREV_CC_SK_DPD_DEF_MEAN_MAX,9.8438526e-05
num__PREV_INST_DAYS_INSTALMENT_MEAN_MAX,9.710167e-05
num__PREV_SELLERPLACE_AREA_MAX,9.616046e-05
num__PREV_DAYS_LAST_DUE_MAX,9.613863e-05
