model,threshold,TN,FP,FN,TP,recall,precision,f1,total_cost
XGBoost,0.11,171352,54796,7229,12631,0.6360020140986908,0.18732851824936597,0.2894130855682977,127086
XGBoost,0.12,178071,48077,7968,11892,0.5987915407854985,0.19830245626907236,0.29793683999549037,127757
XGBoost,0.13,183685,42463,8704,11156,0.5617321248741188,0.20806057554225182,0.3036513833884511,129503
XGBoost,0.14,188750,37398,9405,10455,0.5264350453172205,0.21848159989969282,0.3088033317088299,131448
XGBoost,0.15000000000000002,193007,33141,10085,9775,0.4921953675730111,0.22777052847422874,0.3114247483114566,133991
XGBoost,0.16,196808,29340,10701,9159,0.46117824773413896,0.2379022831761864,0.3138847478538015,136350
XGBoost,0.17,200318,25830,11320,8540,0.4300100704934542,0.2484725050916497,0.31495482205421355,139030
XGBoost,0.18000000000000002,203276,22872,11916,7944,0.4,0.25778816199376947,0.3135211934643618,142032
XGBoost,0.19,205841,20307,12408,7452,0.37522658610271903,0.268453474548795,0.312984312984313,144387
XGBoost,0.2,208151,17997,12959,6901,0.3474823766364552,0.2771708570969556,0.3083694535055186,147587
XGBoost,0.21000000000000002,210254,15894,13455,6405,0.32250755287009064,0.2872326113278622,0.30384971180530845,150444
XGBoost,0.22,211979,14169,13910,5950,0.29959718026183285,0.295740344947562,0.2976562695415093,153269
XGBoost,0.23,213546,12602,14325,5535,0.27870090634441086,0.3051772619507085,0.29133878990446616,155852
XGBoost,0.24000000000000002,214883,11265,14702,5158,0.259718026183283,0.3140717286732022,0.28432048066587656,158285
XGBoost,0.25,216220,9928,15071,4789,0.24113796576032226,0.3254059930692397,0.27700494548399224,160638
XGBoost,0.26,217288,8860,15417,4443,0.22371601208459216,0.3339848154551605,0.26794922051684106,163030
XGBoost,0.27,218320,7828,15742,4118,0.20735146022155085,0.344717897204085,0.25894485317235744,165248
XGBoost,0.28,219222,6926,16048,3812,0.1919436052366566,0.35500093127211774,0.2491666121968756,167406
XGBoost,0.29000000000000004,219967,6181,16357,3503,0.17638469284994965,0.3617306897976043,0.23713782832385594,169751
XGBoost,0.3,220664,5484,16635,3225,0.1623867069486405,0.37030657940062006,0.2257691903811824,171834
XGBoost,0.31,221330,4818,16900,2960,0.14904330312185296,0.3805605554127025,0.21419784354873725,173818
XGBoost,0.32,221914,4234,17127,2733,0.13761329305135953,0.3922778814410794,0.20374995340515153,175504
XGBoost,0.33,222427,3721,17350,2510,0.12638469284994966,0.40282458674370086,0.19240351078916101,177221
XGBoost,0.34,222886,3262,17582,2278,0.11470292044310171,0.4111913357400722,0.17937007874015748,179082
XGBoost,0.35000000000000003,223261,2887,17761,2099,0.10568982880161128,0.4209787404733253,0.16896079851887627,180497
XGBoost,0.36000000000000004,223602,2546,17935,1925,0.09692849949647532,0.43055244911652873,0.1582343512391599,181896
XGBoost,0.37,223916,2232,18105,1755,0.08836858006042296,0.4401805869074492,0.1471883255755441,183282
XGBoost,0.38,224198,1950,18262,1598,0.08046324269889224,0.4503945885005637,0.13653451811346548,184570
XGBoost,0.39,224420,1728,18410,1450,0.07301107754279959,0.4562617998741347,0.12587898255056862,185828
XGBoost,0.4,224627,1521,18551,1309,0.06591137965760323,0.4625441696113074,0.11538122520934332,187031
XGBoost,0.41000000000000003,224826,1322,18690,1170,0.05891238670694864,0.4695024077046549,0.10468861846814603,188222
XGBoost,0.42000000000000004,224973,1175,18797,1063,0.05352467270896274,0.4749776586237712,0.09620780161100552,189145
XGBoost,0.43,225146,1002,18908,952,0.04793554884189325,0.4872057318321392,0.08728339598423031,190082
XGBoost,0.44,225281,867,19002,858,0.043202416918429,0.4973913043478261,0.07949965253648367,190887
XGBoost,0.45,225392,756,19090,770,0.03877139979859013,0.5045871559633027,0.07200972598896474,191656
XGBoost,0.46,225493,655,19184,676,0.03403826787512588,0.5078888054094666,0.06380067009579539,192495
XGBoost,0.47000000000000003,225579,569,19240,620,0.03121852970795569,0.5214465937762826,0.05891016200294551,192969
XGBoost,0.48000000000000004,225658,490,19304,556,0.027995971802618327,0.5315487571701721,0.05319047163493734,193530
XGBoost,0.49,225730,418,19361,499,0.025125881168177242,0.5441657579062159,0.04803388362131203,194028
XGBoost,0.5,225787,361,19413,447,0.022507552870090635,0.5532178217821783,0.04325527385329979,194491
XGBoost,0.51,225823,325,19462,398,0.02004028197381672,0.5504840940525588,0.0386726910557256,194945
XGBoost,0.52,225868,280,19508,352,0.01772406847935549,0.5569620253164557,0.034354870193246144,195360
XGBoost,0.53,225910,238,19549,311,0.01565961732124874,0.5664845173041895,0.030476750453231418,195728
XGBoost,0.54,225938,210,19580,280,0.014098690835850957,0.5714285714285714,0.027518427518427518,196010
XGBoost,0.55,225974,174,19611,249,0.012537764350453172,0.5886524822695035,0.024552580979145096,196284
XGBoost,0.56,226005,143,19646,214,0.010775427995971802,0.5994397759103641,0.0211703022209032,196603
XGBoost,0.5700000000000001,226033,115,19665,195,0.009818731117824773,0.6290322580645161,0.019335647000495785,196765
XGBoost,0.5800000000000001,226055,93,19691,169,0.00850956696878147,0.6450381679389313,0.0167975350362787,197003
XGBoost,0.59,226077,71,19712,148,0.0074521651560926485,0.6757990867579908,0.014741770008466557,197191
XGBoost,0.6,226093,55,19733,127,0.0063947633434038266,0.6978021978021978,0.012673385889631773,197385
XGBoost,0.61,226100,48,19750,110,0.0055387713997985906,0.6962025316455697,0.01099010890198821,197548
XGBoost,0.62,226107,41,19768,92,0.004632426988922457,0.6917293233082706,0.009203221127394589,197721
